tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.027771,0.15,0.0,0.0677,48.31,False,43
0.027771,0.18,0.0,0.0738,52.53,False,43
0.027771,0.2,0.0,0.0747,53.54,False,43
0.027771,0.25,0.0,0.0842,55.07,False,43
0.027771,0.3,0.0,0.0877,57.33,False,43
0.027771,0.35,0.0,0.0903,58.36,False,43
0.027771,0.4,0.0,0.0929,60.43,False,43
0.027771,0.5,0.0,0.0964,66.01,False,43
0.027771,0.7,0.0,0.0964,73.88,False,43
0.029071,0.05,0.0,0.0278,45.51,True,43
0.029071,0.08,0.0,0.0339,46.4,False,43
0.029071,0.1,0.0,0.0382,46.72,False,43
0.029071,0.12,0.0,0.0486,47.38,False,43
0.029071,0.15,0.0,0.0694,49.64,False,43
0.029071,0.18,0.0,0.0764,54.15,False,43
0.029071,0.2,0.0,0.0773,55.18,False,43
0.029071,0.25,0.0,0.0859,56.79,False,43
0.029071,0.3,0.0,0.0894,59.04,False,43
0.029071,0.35,0.0,0.092,60.04,False,43
0.029071,0.4,0.0,0.0946,62.26,False,43
0.029071,0.5,0.0,0.0981,68.02,False,43
0.029071,0.7,0.0,0.0981,75.83,False,43
0.030513,0.05,0.0,0.0295,46.61,False,43
0.030513,0.08,0.0,0.0356,47.51,False,43
0.030513,0.1,0.0,0.0425,47.86,False,43
0.030513,0.12,0.0,0.0582,48.58,False,43
0.030513,0.15,0.0,0.0851,51.04,False,43
0.030513,0.18,0.0,0.0885,55.85,False,43
0.030513,0.2,0.0,0.0894,57.12,False,43
0.030513,0.25,0.0,0.1007,58.75,False,43
0.030513,0.3,0.0,0.1042,61.48,False,43
0.030513,0.35,0.0,0.1094,62.79,False,43
0.030513,0.4,0.0,0.112,64.74,False,43
0.030513,0.5,0.0,0.1155,70.37,False,43
0.030513,0.7,0.0,0.1155,77.94,False,43
0.031974,0.05,0.0,0.0304,47.68,False,43
0.031974,0.08,0.0,0.0365,48.58,False,43
0.031974,0.1,0.0,0.0434,48.92,False,43
0.031974,0.12,0.0,0.0582,49.71,False,43
0.031974,0.15,0.0,0.0894,52.37,False,43
0.031974,0.18,0.0,0.0938,57.7,False,43
0.031974,0.2,0.0,0.0946,59.05,False,43
0.031974,0.25,0.0,0.1085,60.66,False,43
0.031974,0.3,0.0,0.1163,63.6,False,43
0.031974,0.35,0.0,0.1189,65.44,False,43
